2025-02-18 21:28:53	7d011198-d045-4c53-af01-5400e114cd28	/	GET
2025-02-18 21:28:53	8f5ffabf-fdc1-44b9-b739-c350d7ba5c1d	/css/style.css	GET
2025-02-18 21:28:53	6c6cf850-7cac-4dea-8f6f-c9b17a1abb92	/favicon.ico	GET
2025-02-18 21:30:41	46f9ae4f-aa4b-41b3-8e71-1d344e3c391c	/	GET
2025-02-18 21:30:41	86508d9d-8d0c-4bf0-bed6-ad64aa572033	/css/style.css	GET
2025-02-18 21:30:58	5b0c1626-5bfc-4f9b-9d7f-fa7eb5cc5b4d	/new-page.html	GET
2025-02-18 21:30:58	eca7172c-48fe-4a5d-83be-6fe304008766	/css/style.css	GET
2025-02-18 21:30:58	17162dbc-8850-4b15-9de3-87128545a8df	/img/img1.jpg	GET
2025-02-18 21:31:09	f44f4d9f-e453-47b8-b6cb-6fe3990bef44	/new-page.html	GET
2025-02-18 21:31:22	7fc873a5-12b3-4152-b307-87e012f055af	/new-page.html	GET
2025-02-18 21:31:22	411da43d-b48b-47af-864e-446312ffff1c	/css/style.css	GET
2025-02-18 21:31:22	38e58bc1-2805-4cb1-89b2-2c782411c045	/img/img1.jpg	GET
2025-02-19 14:37:10	21e22f82-79c1-4f2b-9b0c-7be763c32d43	GET	undefined	/
2025-02-19 14:37:10	3e64ef32-64c6-4f18-94f7-35ad8d4e9d1d	GET	undefined	/css/style.css
2025-02-19 14:39:37	5f8c08d8-290c-4278-ba13-db024093414f	GET	undefined	/
2025-02-19 14:39:37	5e72780a-2bd1-4dd3-a0f7-c28235791cd2	GET	undefined	/css/style.css
2025-02-19 14:42:58	aad4adfb-3a17-476f-8f16-1149476b6783	OPTIONS	https://www.google.com	/
2025-02-19 14:42:58	b1337533-f7d6-46b1-9bbe-89c306b967f9	GET	https://www.google.com	/
2025-02-19 14:48:12	2e1ba40a-32e3-4d72-9be0-03142088fbf0	OPTIONS	https://www.google.com	/
2025-02-19 14:48:12	52451097-1e53-4249-858f-c8084bd746bb	GET	https://www.google.com	/
2025-02-19 14:53:18	65d9f2b0-8647-4a3f-bbb8-9b0114239dfe	OPTIONS	https://www.google.com	/
2025-02-19 14:53:18	6a50d557-4c4f-41af-9108-8bc7d1dda529	GET	https://www.google.com	/
2025-02-19 14:54:14	93ca6114-8417-44b5-ab4b-c82bc7695361	OPTIONS	https://www.google.com	/
2025-02-19 14:54:14	593d28bc-d18c-4767-aae3-4e3a89a5f0f7	GET	https://www.google.com	/
2025-02-19 14:54:42	6b9e36e3-bca6-40a1-bf92-e3d393789720	OPTIONS	https://www.google.com	/
2025-02-19 14:54:42	28f8a397-4e90-43c3-aeeb-37bfc51d98e1	GET	https://www.google.com	/
2025-02-19 14:55:33	f0ebcf50-2f86-4cd9-82e2-c5f904a3b355	OPTIONS	https://www.google.com	/
2025-02-19 14:55:33	a30e2e0c-0e15-4352-8c07-930c2f4728ce	GET	https://www.google.com	/
2025-02-19 14:55:47	598ceee4-8ec8-46f8-a433-dccf2bc4c4b2	GET	undefined	/
2025-02-19 14:55:47	786ff6c6-0131-4d60-b9e8-abb32d54aec5	GET	undefined	/css/style.css
2025-02-19 14:56:52	cbab96c6-1a1c-4cbb-87d9-2738f615e6af	OPTIONS	https://www.google.com	/
2025-02-19 14:56:52	9ae3c8db-fc92-4530-b3a6-5544d3ad1081	GET	https://www.google.com	/
2025-02-19 14:57:18	382262ca-97b4-40cf-98ca-7411748690c5	GET	undefined	/
2025-02-19 14:57:18	c2e72b85-a4ec-4f41-889a-6f0d4845db25	GET	undefined	/css/style.css
2025-02-19 15:19:52	283999c3-c9c2-469b-b89b-3d9f86403e76	GET	undefined	/
2025-02-19 15:19:52	8016686a-4ee6-4b2c-8701-408758aa0949	GET	undefined	/css/style.css
2025-02-19 15:19:58	3669ee12-34d8-4462-a737-eb3c6370e229	OPTIONS	https://www.google.com	/
2025-02-19 15:19:58	c484cadc-c5d0-4d51-a345-38c544e93b82	GET	https://www.google.com	/
2025-02-19 15:20:02	cf1cd29b-798f-4a0e-b779-5d1a70be7e31	GET	undefined	/
2025-02-19 15:20:02	09084de7-82dd-4c84-80db-95e04e39348f	GET	undefined	/css/style.css
2025-02-19 15:21:45	c0176894-5bae-425d-b6d0-d12792f13fd0	OPTIONS	https://www.google.com	/
2025-02-19 15:21:45	44bcb519-4338-46ab-9603-cd77b00e41e1	GET	https://www.google.com	/
20250219	15:25:50	4019daa0-63c1-4e4f-8f58-a99635cbb7f5	GET	undefined	/
20250219	15:53:23	162acf54-fdd9-47e0-8460-0cbc1e08ddd1	OPTIONS	https://www.google.com	/
20250219	15:53:23	522a72b7-6520-44e5-9dab-2a17210152a7	GET	https://www.google.com	/
20250219	15:58:01	fc3f9eda-1ece-4fdc-849e-4f5bf0e576aa	GET	undefined	/
20250219	16:25:30	b02cbc17-0e3f-4eb9-b397-36f6e80c3b08	GET	undefined	/
20250219	16:25:30	7109c9b2-df0d-4af9-bcd6-34c8e1474929	GET	undefined	/css/style.css
20250219	16:25:38	8502e865-1865-4424-ac85-387fbebaafd9	GET	undefined	/subdir
20250219	16:26:22	472c6300-c3c2-40c8-86f7-9d943cdea73a	GET	undefined	/subdir/test
20250219	16:26:36	19c05131-3e5f-4ffe-aa31-4f48fec335cf	GET	undefined	/s4564145
20250219	16:26:36	40ea9a31-a77f-4154-9c8c-c2bbbb5aec9b	GET	undefined	/css/style.css
20250219	16:26:55	093e98f2-06b6-4db2-917e-dc477acbd2c0	GET	undefined	/subdir/46545
20250219	16:26:55	f698a1b7-3eab-48ff-a246-cdef4079abf2	GET	undefined	/subdir/css/style.css
20250219	16:29:17	8e9758a4-76ed-40c3-bbf4-8eed39ef9888	GET	undefined	/subdir/test
20250219	16:29:21	803bb0b6-cc28-4670-bedc-693e83c128b7	GET	undefined	/subdir/fdasfsaf
20250219	16:29:21	cfe0061d-2b05-40df-aead-a301d0ff0a43	GET	undefined	/subdir/css/style.css
20250219	16:29:43	2c34b58e-7409-45de-83ea-296664235e18	GET	undefined	/subdir/fdasfsaf
20250219	16:29:43	291cc23c-8d2f-4043-ae84-83c5575db35d	GET	undefined	/subdir/css/style.css
20250219	16:33:11	493eb2dc-96b9-468b-9c60-16a84784fb8a	GET	undefined	/
20250219	16:33:11	45b98aea-60bd-43a5-9fe9-cf8f75214b69	GET	undefined	/css/style.css
20250219	16:33:19	811cc4af-7ca2-4c93-9515-3d2d4891ce91	GET	undefined	/new-page
20250219	16:33:19	74ea435f-6990-4ac2-a572-462bccd68691	GET	undefined	/css/style.css
20250219	16:33:19	d90f5e19-efdc-4bb0-a673-833926d4ec83	GET	undefined	/img/img1.jpg
20250219	16:33:26	0b6148dd-808e-406b-a478-3cf88e319bbf	GET	undefined	/new-page.html
20250219	16:33:26	65839693-579a-407d-b0b9-7f9c5ef0d217	GET	undefined	/css/style.css
20250219	16:33:26	7f02b181-13eb-4973-ac73-0c61caa679a4	GET	undefined	/img/img1.jpg
20250219	16:33:32	15592310-1ec8-4216-b4c2-176b1001ce37	GET	undefined	/index
20250219	16:33:32	33e1ae78-06b9-4c81-8d8b-a9161a875c02	GET	undefined	/css/style.css
20250219	16:43:57	271ebef8-6d0e-43c5-bfe6-4155dd23d5f3	GET	undefined	/employees
20250219	16:45:00	0eb86814-bb4a-443e-8e1b-b0f37a99bb24	POST	undefined	/employees
20250219	16:47:33	4e0fb4e3-5332-4656-a8e8-9154fc0d04f7	PUT	undefined	/employees
20250219	16:49:11	b89a8c15-f31f-4665-9c3b-081676702f53	GET	undefined	/employees:1
20250219	16:49:35	65eea8a9-1508-4ad6-839a-82574daa211c	GET	undefined	/employees/1
20250219	17:57:46	7136a58b-eab4-4089-85f1-584a518e02f3	GET	undefined	/employees
20250219	17:58:01	04b575ef-4771-47fa-9661-be63cffabf95	POST	undefined	/employees
20250219	17:59:25	ce5f9d4d-f929-456d-ad9c-89f033ca8a74	POST	undefined	/employees
20250219	18:00:31	ae5cdf68-660c-4c55-b148-97d1edc722d1	POST	undefined	/employees
20250219	18:03:04	04a0ff9e-65e6-4246-bb40-c031831192e2	PUT	undefined	/employees
20250219	18:03:20	86517514-e42f-4808-93c4-41e76f64e2f7	PUT	undefined	/employees
20250219	18:04:21	3dea7022-5e08-4402-bfdf-fc07b7bd6770	DELETE	undefined	/employees
20250219	18:04:53	500b54e8-dee6-48ab-a0dd-b795cfdf8a6d	GET	undefined	/employees/1
20250219	18:51:50	27efcad8-5374-4b14-af43-c40e97d77044	POST	undefined	/register
20250219	18:52:27	9e10047f-608b-4793-a69d-a1cdb9834d82	POST	undefined	/register
20250219	18:52:37	682de916-d91e-4b79-8997-960ef7742f90	POST	undefined	/register
20250219	18:54:17	8d40e5e6-2826-4abc-a87c-6f8c0c4a08cb	POST	undefined	/register
